jargon,short_definition,definition,easy_understanding,use_example,bad_example
361考核,一种历史上的强制绩效分档办法,媒体报道中所称的一种历史绩效分布做法，通常指将员工绩效按一定比例划分为较高、一般和较低等级；其具体规则及是否为阿里正式制度未获可靠官方确认。,一种历史上的强制绩效分档办法，不能当作当前制度默认存在。,讨论历史绩效机制时，可以说明361考核曾按3、6、1比例分布。,评价阿里当前绩效制度时，不能未经核实直接套用历史361比例。
To B / B2B,卖给公司,Business-to-Business，企业对企业,卖给公司,我们今年主攻 To B 客户。,卖给个人消费者时不适用
To C / B2C,卖给个人用户,Business-to-Consumer，企业对消费者,卖给个人用户,这个功能更偏 To C。,企业采购、组织决策不适用
SaaS,在线订阅软件,Software as a Service，软件即服务,在线订阅软件,我们做的是垂直行业 SaaS。,一次性本地部署软件不一定适用
PaaS,给开发者用的平台,Platform as a Service，平台即服务,给开发者用的平台,这套能力可以包装成 PaaS。,普通业务系统不宜硬叫 PaaS
IaaS,租服务器、存储、网络,Infrastructure as a Service，基础设施即服务,租服务器、存储、网络,客户已有 IaaS 预算。,只提供业务软件时不适用
CRM,管客户和销售线索,Customer Relationship Management，客户关系管理,管客户和销售线索,这个线索记得录 CRM。,纯项目管理工具不叫 CRM
ERP,管企业后台资源,Enterprise Resource Planning，企业资源计划,管企业后台资源,要和客户 ERP 打通。,单一销售看板不叫 ERP
KPI,考核指标,Key Performance Indicator，关键绩效指标,考核指标,Q3 KPI 是提升续费率。,纯愿景口号不是 KPI
OKR,OKR：目标加衡量结果,Objectives and Key Results，目标与关键成果,目标加衡量结果,这个 KR 不够可量化。,日常任务清单不适合叫 OKR
ROI,投入值不值,Return on Investment，投资回报率,投入值不值,这个渠道 ROI 太低。,只谈品牌声量且无法衡量时慎用
GMV,平台成交额，不等于收入,Gross Merchandise Value，商品交易总额,平台成交额，不等于收入,大促 GMV 破亿。,订阅软件收入不应直接叫 GMV
DAU,每天多少人用,Daily Active Users，日活跃用户数,每天多少人用,DAU 连续两周下降。,低频企业系统不一定看 DAU
MAU,一个月多少人用,Monthly Active Users，月活跃用户数,一个月多少人用,MAU 已经过千万。,一次性项目交付不适用
ARPU,平均每个用户贡献多少钱,Average Revenue Per User，每用户平均收入,平均每个用户贡献多少钱,会员上线后 ARPU 提升。,没有用户收入关系时不适用
CAC,拉来一个客户花多少钱,Customer Acquisition Cost，客户获取成本,拉来一个客户花多少钱,CAC 太高，先停投放。,只算曝光不算获客时不适用
LTV / CLV,一个客户长期能赚多少钱,Lifetime Value / Customer Lifetime Value，客户生命周期价值,一个客户长期能赚多少钱,LTV 要覆盖 CAC。,一次性无复购业务要谨慎用
MRR,每月稳定订阅收入,Monthly Recurring Revenue，月度经常性收入,每月稳定订阅收入,本月 MRR 增长 8%。,项目制一次性收入不适用
ARR,年化订阅收入,Annual Recurring Revenue，年度经常性收入,年化订阅收入,ARR 到 5000 万再融资。,非经常性收入不适用
Churn,用户退订、客户流失,Customer / Revenue Churn，客户/收入流失,用户退订、客户流失,先把 churn 降下来。,新用户增长指标不叫 churn
NRR,老客户续费加购后的收入留存,Net Revenue Retention，净收入留存率,老客户续费加购后的收入留存,NRR 超 100% 很健康。,没有续费或加购模型时不适用
PMF,产品真的有人要,Product-Market Fit，产品市场匹配,产品真的有人要,还没 PMF，别急着烧投放。,内部工具上线不一定谈 PMF
GTM,产品怎么卖出去,Go-to-Market，市场进入/商业化策略,产品怎么卖出去,GTM 方案下周评审。,单个宣传海报不叫 GTM
ICP,最适合卖的客户类型,Ideal Customer Profile，理想客户画像,最适合卖的客户类型,先把 ICP 定清楚。,泛泛的用户画像不一定是 ICP
MVP,先做能验证的最小版本,Minimum Viable Product，最小可行产品,先做能验证的最小版本,先做 MVP，不要大而全。,已成熟核心系统不能只做半成品
PRD,产品要做什么的说明书,Product Requirements Document，产品需求文档,产品要做什么的说明书,PRD 里把边界写清楚。,只有一句想法不叫 PRD
BRD,业务为什么要做、要达到什么目标,Business Requirements Document，业务需求文档,业务为什么要做、要达到什么目标,先评 BRD 再排期。,纯技术实现说明不叫 BRD
API,系统之间说话的接口,Application Programming Interface，应用程序编程接口,系统之间说话的接口,先对接支付 API。,人工 Excel 传文件不叫 API
SDK,给开发者用的一套工具,Software Development Kit，软件开发工具包,给开发者用的一套工具,给客户发 Android SDK。,单个接口文档不等于 SDK
POC,先证明能不能做,Proof of Concept，概念验证,先证明能不能做,这个项目先做 POC。,已确定量产交付时不叫 POC
SLA,承诺可用性和响应时间,Service Level Agreement，服务级别协议,承诺可用性和响应时间,合同里写 99.9% SLA。,内部口头承诺不算 SLA
SOP,固定流程、标准打法,Standard Operating Procedure，标准作业程序,固定流程、标准打法,把交付流程沉淀成 SOP。,临时一次性处理不必叫 SOP
UAT,让业务或客户验收能不能用,User Acceptance Testing，用户验收测试,让业务或客户验收能不能用,周五安排 UAT。,开发自测不叫 UAT
QA,测试和质量把关,Quality Assurance，质量保证,测试和质量把关,QA 今天做回归测试。,单纯用户反馈不叫 QA
CI/CD,自动构建、测试、发布,Continuous Integration / Continuous Delivery，持续集成/持续交付,自动构建、测试、发布,接入 CI/CD 后发版快很多。,手动上传代码不叫 CI/CD
A/B Test,两个版本比效果,A/B Testing，A/B 测试,两个版本比效果,按钮文案做个 A/B Test。,没有样本量和对照组不适用
CVR,有多少人完成目标动作,Conversion Rate，转化率,有多少人完成目标动作,落地页 CVR 提升了 2 个点。,只看曝光不看转化时不适用
NSM,全团队最核心的增长指标,North Star Metric，北极星指标,全团队最核心的增长指标,先定义 NSM，再拆指标。,部门局部小指标不一定是 NSM
EOD,今天下班前,End of Day，当天结束前,今天下班前,Please send it by EOD.,跨时区不说明时区时容易误用
ETA,什么时候能好,Estimated Time of Arrival / Completion，预计到达/完成时间,什么时候能好,Any ETA for the fix?,不确定范围很大时别硬报 ETA
FYI,发你看看，不一定要你处理,For Your Information，供你参考/知悉,发你看看，不一定要你处理,"FYI, customer signed.",需要对方明确行动时不该只写 FYI
OOO,我不在线或休假中,Out of Office，不在办公室/休假外出,我不在线或休假中,I’m OOO next Monday.,在线远程办公不一定算 OOO
TAM,理论上最大盘子有多大,Total Addressable Market，总潜在市场/总可服务市场,如果全市场都买，理论上最大盘子有多大,先估 TAM，再判断这个赛道值不值得进入。,小功能排期不需要上升到 TAM
SAM,可服务市场,Serviceable Available Market，可服务市场,在总市场里，我们产品和能力实际能覆盖多少,中国区企业客户是我们这一阶段的 SAM。,完全无能力触达的市场不应算进 SAM
SOM,在能服务的市场里，短中期真正能拿下多少,Serviceable Obtainable Market，可获取市场,在能服务的市场里，短中期真正能拿下多少,我们前三年目标 SOM 是 5%。,把整个行业规模都当作 SOM 是误用
